Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 24-16 WM 0.25,224,0.003,original,0.359,float32,90888.0,89504.0,90888.0,7924.1,84.55,22.85,0.611,84.67,84.55,84.54,2625.0,375.0,552.0,2448.0
kan o 24-16 WM 0.334,224,0.003,original,0.529,float32,134344.0,132960.0,134344.0,8913.2,85.23,22.66,0.593,85.33,85.23,85.22,2634.0,366.0,520.0,2480.0
kan t 24-16 WM 0.334,224,0.003,tflite,0.367,int8,141485.0,0.0,2578719.0,196.0,84.22,1.38,1.368,84.26,84.22,84.21,2472.0,528.0,419.0,2581.0
kan o 24-16 WM 0.5,224,0.003,original,1.056,float32,270488.0,269104.0,270488.0,12490.5,86.82,23.39,0.69,86.98,86.82,86.8,2704.0,296.0,495.0,2505.0
kan t 24-16 WM 0.5,224,0.003,tflite,0.535,int8,278391.0,0.0,3471447.0,196.0,86.2,1.8,1.782,86.23,86.2,86.2,2543.0,457.0,371.0,2629.0
kan o 24-16 WM 0.75,224,0.003,original,2.21,float32,570024.0,568640.0,570024.0,19580.7,88.0,25.8,0.923,88.05,88.0,88.0,2695.0,305.0,415.0,2585.0
kan t 24-16 WM 0.75,224,0.003,tflite,0.877,int8,577373.0,0.0,5498055.0,392.0,87.6,2.74,2.648,87.6,87.6,87.6,2628.0,372.0,372.0,2628.0
kan o 24-16 WM 1.0,224,0.003,original,3.663,float32,948112.0,946728.0,948112.0,23901.9,88.58,25.73,1.09,88.66,88.58,88.58,2726.0,274.0,411.0,2589.0
kan h 24-16 WM 1.0,224,0.003,hybrid,1.138,int8+float32,948112.0,0.0,948112.0,23901.9,88.55,25.18,1.094,88.65,88.55,88.54,2732.0,268.0,419.0,2581.0
kan o 24-16 WM 0.25,224,0.003,original,0.359,float32,90888.0,89504.0,90888.0,7924.1,84.98,21.85,0.603,85.21,84.98,84.96,2669.0,331.0,570.0,2430.0
kan o 24-16 WM 0.5,96,0.001,original,1.056,float32,270488.0,269104.0,270488.0,2310.5,81.67,23.05,0.7,82.07,81.67,81.61,2619.0,381.0,719.0,2281.0
kan h 24-16 WM 0.5,96,0.001,hybrid,0.448,int8+float32,270488.0,0.0,270488.0,2310.5,81.4,23.24,0.683,82.06,81.4,81.3,2658.0,342.0,774.0,2226.0
kan t 24-16 WM 0.5,96,0.001,tflite,0.535,int8,276239.0,0.0,2443611.0,144.0,82.8,1.25,1.173,82.82,82.8,82.8,2520.0,480.0,552.0,2448.0
kan o 24-16 WM 0.668,96,0.001,original,1.741,float32,448016.0,446632.0,448016.0,3259.5,84.55,24.01,0.891,84.6,84.55,84.54,2481.0,519.0,408.0,2592.0
kan h 24-16 WM 0.668,96,0.001,hybrid,0.633,int8+float32,448016.0,0.0,448016.0,3259.5,84.65,23.83,0.905,84.7,84.65,84.64,2483.0,517.0,404.0,2596.0
kan t 24-16 WM 0.668,96,0.001,tflite,0.741,int8,452567.0,0.0,3600995.0,288.0,84.72,2.54,1.674,84.72,84.72,84.72,2552.0,448.0,469.0,2531.0
kan o 24-16 WM 0.75,96,0.001,original,2.21,float32,570024.0,568640.0,570024.0,3620.7,84.22,24.3,0.926,84.68,84.22,84.16,2700.0,300.0,647.0,2353.0
kan h 24-16 WM 0.75,96,0.001,hybrid,0.755,int8+float32,570024.0,0.0,570024.0,3620.7,84.03,24.23,0.92,84.39,84.03,83.99,2674.0,326.0,632.0,2368.0
kan t 24-16 WM 0.75,96,0.001,tflite,0.877,int8,577089.0,0.0,4015187.0,288.0,84.52,1.89,1.838,84.72,84.52,84.49,2649.0,351.0,578.0,2422.0
kan o 24-16 WM 1.0,96,0.001,original,3.663,float32,948112.0,946728.0,948112.0,4421.9,84.45,23.93,1.058,84.66,84.45,84.43,2649.0,351.0,582.0,2418.0
kan h 24-16 WM 1.0,96,0.001,hybrid,1.138,int8+float32,948112.0,0.0,948112.0,4421.9,84.5,40.27,2.068,84.76,84.5,84.47,2665.0,335.0,595.0,2405.0
